Date,Boeing,Airbus,Crash
31 March,170.55,162.78,0
01 April,168.17,168.06,0
02 April,168.56,162.74,0
03 April,150.91,158.02,0
04 April,136.59,146.9,0
07 April,138.86,136.8,0
08 April,139.39,140.24,0
09 April,160.82,133.48,0
10 April,155.52,139.46,0
11 April,156.84,134.86,0
14 April,159.28,139.26,0
15 April,155.52,139.91,0
16 April,156.47,139.47,0
17 April,161.9,135.46,0
21 April,159.34,133.06,0
22 April,162.52,138.84,0
23 April,172.37,137.26,0
24 April,176.26,140.6,0
25 April,177.95,144.32,0
28 April,182.3,143.98,0
29 April,182,147.14,0
30 April,183.24,154.96,0
01 May,182.89,158.28,0
02 May,185.46,156.64,0
05 May,186.46,154.58,0
06 May,185.96,158.38,0
07 May,185.56,158.44,0
08 May,191.7,158.58,0
09 May,194.85,161.1,0
12 May,198.53,159.5,0
13 May,203.42,159.22,0
14 May,204.72,160.24,0
15 May,206.24,161.9,0
16 May,205.82,161.84,0
19 May,205.25,162.1,0
20 May,207.67,161.26,0
21 May,203.21,157.3,0
22 May,203.41,160.22,0
23 May,202.36,162.2,0
27 May,201.03,162.34,0
28 May,201.5,162.56,0
29 May,208.18,162.08,0
30 May,207.32,162.58,0
02 June,211.47,166.44,0
03 June,213.43,170.18,0
04 June,211.98,165.5,0
05 June,209.02,165.34,0
06 June,210.8,165.5,0
09 June,217.51,163.92,0
10 June,215.73,163.62,0
11 June,214,162.8,0
12 June,203.75,161.58,0
13 June,200.32,162.02,0
16 June,201.7,160.74,0
17 June,200.26,162.98,0
18 June,197.68,161.76,0
20 June,198.75,167.5,0
23 June,201.31,167,0
24 June,200.94,170.6,0
25 June,198.9,171.54,0
26 June,202.58,176.1,0